epoch,total,pde,top,bottom,side,energy
1,3.1637585163116455,1.7729923725128174,0.5990620255470276,0.779841959476471,0.008271473459899426,0.0035907875280827284
5001,0.31774619221687317,0.01028277724981308,0.2842165529727936,0.021594617515802383,0.0014894293854013085,0.00016281075659208
10001,0.34033310413360596,0.05569423735141754,0.1624397188425064,0.11517895013093948,0.0066909026354551315,0.00032932902104221284
15001,0.14674653112888336,0.03405202552676201,0.09660812467336655,0.010706467553973198,0.00498918117955327,0.00039074025698937476
20001,0.14869557321071625,0.032776154577732086,0.09073333442211151,0.020212959498167038,0.004708996973931789,0.0002641413011588156
25001,0.1380327194929123,0.029138479381799698,0.09022101759910583,0.013348434120416641,0.004863268695771694,0.0004615160287357867
30001,0.1070568636059761,0.02433909848332405,0.0666201114654541,0.011062700301408768,0.004664035513997078,0.0003709222946781665
35001,0.13068926334381104,0.02784743718802929,0.08232299238443375,0.01605059951543808,0.004231139551848173,0.00023709170636720955
40001,0.15744872391223907,0.03349941596388817,0.10096890479326248,0.01646493375301361,0.006001685280352831,0.0005137993139214814
45001,0.13489624857902527,0.027543114498257637,0.0924890786409378,0.009689942933619022,0.004879992920905352,0.00029412040021270514
50001,0.12603570520877838,0.027707591652870178,0.07768846303224564,0.014761767350137234,0.005527078174054623,0.00035080392262898386
55001,0.0747731626033783,0.015182853676378727,0.05097676441073418,0.0057651880197227,0.00271842279471457,0.00012993181007914245
60000,0.10214689373970032,0.025515535846352577,0.05740632116794586,0.014902183786034584,0.004076946992427111,0.0002459048409946263
