epoch,total,pde,top,bottom,side,energy
1,5.340097427368164,3.8957359790802,0.5996059775352478,0.8210263252258301,0.01688193343579769,0.006847531069070101
5001,0.2831669747829437,0.02729130908846855,0.22622635960578918,0.021971585229039192,0.006546330638229847,0.0011314073344692588
10001,0.2845171093940735,0.06277060508728027,0.13415496051311493,0.0793679803609848,0.007921463809907436,0.00030210212571546435
15001,0.14852091670036316,0.03232733905315399,0.10077958554029465,0.010480580851435661,0.004602556116878986,0.0003308527229819447
20001,0.1574959009885788,0.03109423816204071,0.10135003179311752,0.020030153915286064,0.004810544196516275,0.00021094725525472313
25001,0.15718044340610504,0.028753012418746948,0.10720555484294891,0.015531186014413834,0.005230523180216551,0.00046017198474146426
30001,0.13349130749702454,0.023495659232139587,0.09170494228601456,0.013074289076030254,0.005043103359639645,0.00017332128481939435
35001,0.15959496796131134,0.025829926133155823,0.11040419340133667,0.01850918121635914,0.0046348171308636665,0.00021686159016098827
40001,0.18416182696819305,0.03609786927700043,0.12280905991792679,0.019029585644602776,0.005820415448397398,0.0004049155686516315
45001,0.16387824714183807,0.028110051527619362,0.11904209107160568,0.01161120180040598,0.0048064617440104485,0.000308438902720809
50000,0.11612901091575623,0.023841340094804764,0.08257090300321579,0.006239387206733227,0.0032875766046345234,0.0001898021437227726
